condition,seed,pose_rank,energy,hit,com_dist_to_site
A_blind,1,1,-3.654,0,135.39197286052524
A_blind,1,2,-3.651,0,136.62145623818765
A_blind,1,3,-3.387,1,9.954348449747933
A_blind,1,4,-3.319,0,137.25057191403033
A_blind,1,5,-3.251,1,9.04700628184165
A_blind,1,6,-3.234,0,134.42790968958082
A_blind,1,7,-3.073,0,136.10841085067415
A_blind,1,8,-3.068,0,135.57681783254446
A_blind,1,9,-3.018,0,135.80661239782694
A_blind,1,10,-2.962,0,137.9094766345699
A_blind,1,11,-2.956,0,134.21273134285514
A_blind,1,12,-2.927,1,9.751931036918107
A_blind,1,13,-2.87,0,141.7726314629576
A_blind,1,14,-2.863,0,64.20720921681853
A_blind,1,15,-2.711,0,134.9769181872016
A_blind,1,16,-2.694,0,136.194448314382
A_blind,1,17,-2.566,0,74.6673306631762
A_blind,1,18,-2.495,0,136.96440400483843
A_blind,1,19,-2.461,0,133.85413082253115
A_blind,1,20,-2.41,0,142.65995208228412
A_blind,2,1,-3.229,0,136.64991889160567
A_blind,2,2,-3.214,0,136.56129836269346
A_blind,2,3,-3.068,0,135.14338242634008
A_blind,2,4,-3.044,1,9.305150567053065
A_blind,2,5,-3.009,0,15.602252137479336
A_blind,2,6,-2.947,0,39.63448360040939
A_blind,2,7,-2.927,1,9.984256375463453
A_blind,2,8,-2.924,0,136.43494025506575
A_blind,2,9,-2.801,0,39.24520224448479
A_blind,2,10,-2.772,0,134.95011911202715
A_blind,2,11,-2.68,0,19.803748047210693
A_blind,2,12,-2.643,0,108.74732900229493
A_blind,2,13,-2.593,0,40.165735690687285
A_blind,2,14,-2.579,0,18.282597362162
A_blind,2,15,-2.477,0,134.49504918691906
A_blind,2,16,-2.45,0,62.02266009603982
A_blind,2,17,-2.423,0,20.107618021872817
A_blind,2,18,-2.409,0,20.88938759518091
A_blind,2,19,-2.374,0,135.94873735820323
A_blind,2,20,-2.342,0,69.53937162102301
A_blind,3,1,-3.077,0,135.75500335700528
A_blind,3,2,-3.048,0,30.023793461898602
A_blind,3,3,-2.921,0,26.957030330575584
A_blind,3,4,-2.921,0,102.35650906412614
A_blind,3,5,-2.745,0,140.43433120842064
A_blind,3,6,-2.624,0,134.40927491651166
A_blind,3,7,-2.603,0,143.03419480670772
A_blind,3,8,-2.599,0,137.76137372817638
A_blind,3,9,-2.566,0,101.98553742918726
A_blind,3,10,-2.471,0,74.74473572556823
A_blind,3,11,-2.44,0,131.08737377978542
A_blind,3,12,-2.434,0,133.82921994586218
A_blind,3,13,-2.402,0,137.07929429994067
A_blind,3,14,-2.316,0,70.54863091160965
A_blind,3,15,-2.251,0,143.56084630834061
A_blind,3,16,-2.236,0,77.67560321106582
A_blind,3,17,-2.229,0,51.28876276952046
A_blind,3,18,-2.205,0,137.86246754415578
A_blind,3,19,-2.133,0,143.3738783175605
A_blind,3,20,-2.034,0,76.22846667373568
A_blind,4,1,-3.602,0,137.63020227772193
A_blind,4,2,-3.512,0,140.962677256453
A_blind,4,3,-3.355,0,136.8084718993744
A_blind,4,4,-3.086,1,8.011380680259832
A_blind,4,5,-3.023,0,135.26179227455742
A_blind,4,6,-2.95,0,142.07791289152834
A_blind,4,7,-2.949,0,112.48511102133105
A_blind,4,8,-2.817,0,10.709167818177901
A_blind,4,9,-2.798,1,10.306403591496782
A_blind,4,10,-2.723,1,9.525874963307814
A_blind,4,11,-2.671,0,40.52908421282947
A_blind,4,12,-2.632,0,140.20926104437595
A_blind,4,13,-2.569,0,21.37749835288484
A_blind,4,14,-2.553,0,142.6579525224653
A_blind,4,15,-2.55,0,63.447116869940565
A_blind,4,16,-2.459,0,13.330416596315112
A_blind,4,17,-2.423,0,38.993480587966154
A_blind,4,18,-2.399,0,73.10440674339331
A_blind,4,19,-2.303,0,40.54393724887795
A_blind,4,20,-2.234,1,10.537893930876011
A_blind,5,1,-2.874,0,62.815989389829596
A_blind,5,2,-2.702,0,66.04147185383054
A_blind,5,3,-2.699,0,36.2230709891086
A_blind,5,4,-2.692,0,14.535808191902563
A_blind,5,5,-2.581,0,19.88937053211293
A_blind,5,6,-2.507,0,51.85447767575387
A_blind,5,7,-2.459,0,114.00067201519359
A_blind,5,8,-2.415,0,64.5509995365404
A_blind,5,9,-2.413,0,121.75200257756968
A_blind,5,10,-2.395,0,66.64896081452513
A_blind,5,11,-2.37,0,113.61107304390617
A_blind,5,12,-2.299,0,126.99579063983724
A_blind,5,13,-2.29,0,123.52144310387551
A_blind,5,14,-2.194,0,113.85321893165315
A_blind,5,15,-2.166,0,115.16551378079463
A_blind,5,16,-2.157,0,79.15127001270251
A_blind,5,17,-2.139,0,15.20546001261924
A_blind,5,18,-2.074,0,17.834984715828057
A_blind,5,19,-2.031,0,124.97065508851752
A_blind,5,20,-2.014,0,127.68409072045458
A_blind,6,1,-3.459,1,8.749519433503956
A_blind,6,2,-3.347,0,100.56883762089095
A_blind,6,3,-3.265,0,140.84501840528537
A_blind,6,4,-3.162,0,135.31746653122875
A_blind,6,5,-3.077,1,8.421296070723926
A_blind,6,6,-3.067,0,52.025974343060724
A_blind,6,7,-2.991,0,63.97407830402047
A_blind,6,8,-2.869,0,117.54299389098664
A_blind,6,9,-2.82,0,108.38383670056636
A_blind,6,10,-2.793,0,142.34930175164263
A_blind,6,11,-2.789,1,11.658682787961968
A_blind,6,12,-2.759,0,51.97547611978049
A_blind,6,13,-2.647,0,75.27522714040599
A_blind,6,14,-2.633,0,108.20246953484228
A_blind,6,15,-2.491,1,11.085020543671858
A_blind,6,16,-2.483,0,76.44424924938059
A_blind,6,17,-2.473,0,75.8394515740009
A_blind,6,18,-2.363,0,110.45248931867458
A_blind,6,19,-2.334,0,142.62118451285187
A_blind,6,20,-2.3,0,75.20300551595
A_blind,7,1,-3.338,0,136.1514218052307
A_blind,7,2,-3.094,0,135.20984005516854
A_blind,7,3,-2.745,0,51.42043202566837
A_blind,7,4,-2.698,0,135.4141008613934
A_blind,7,5,-2.558,0,67.5855449216817
A_blind,7,6,-2.456,0,118.06601634254329
A_blind,7,7,-2.436,0,125.06161720654849
A_blind,7,8,-2.404,0,135.23489341793953
A_blind,7,9,-2.256,0,60.744966471018785
A_blind,7,10,-2.2,0,74.40374401248125
A_blind,7,11,-2.159,0,61.043253430632824
A_blind,7,12,-2.137,0,112.53964255289318
A_blind,7,13,-2.027,0,50.746244562788625
A_blind,7,14,-2.021,0,143.76879550082975
A_blind,7,15,-2.021,0,141.6449607630351
A_blind,7,16,-1.976,0,136.7773960932937
A_blind,7,17,-1.943,0,49.8255843794314
A_blind,7,18,-1.91,0,59.03201752579484
A_blind,7,19,-1.724,0,55.65532556420347
A_blind,7,20,-1.71,0,51.9504247444878
A_blind,8,1,-3.879,0,134.42974546161437
A_blind,8,2,-2.973,0,135.79226043280295
A_blind,8,3,-2.656,0,53.30204644509727
A_blind,8,4,-2.653,0,134.93358222506842
A_blind,8,5,-2.589,0,112.63329789105833
A_blind,8,6,-2.581,0,52.61777357025681
A_blind,8,7,-2.547,0,65.62964015850214
A_blind,8,8,-2.537,0,112.82464115286689
A_blind,8,9,-2.532,0,133.80348021434844
A_blind,8,10,-2.433,0,26.143620889962094
A_blind,8,11,-2.397,0,122.58140822090107
A_blind,8,12,-2.316,0,114.44490282115784
A_blind,8,13,-2.301,0,119.56254497302848
A_blind,8,14,-2.292,0,120.58276473559022
A_blind,8,15,-2.24,0,117.66170288297168
A_blind,8,16,-2.223,0,41.77620832603554
A_blind,8,17,-2.193,0,120.73307467212209
A_blind,8,18,-2.193,1,9.161614400793896
A_blind,8,19,-2.123,1,6.4318293217949645
A_blind,8,20,-2.028,0,98.20027481635697
A_blind,9,1,-3.74,0,136.20685551905055
A_blind,9,2,-3.31,0,138.0035764386934
A_blind,9,3,-3.11,0,136.95204015277517
A_blind,9,4,-2.973,0,135.76617534440797
A_blind,9,5,-2.91,0,136.1574785186182
A_blind,9,6,-2.875,0,139.79543495396686
A_blind,9,7,-2.848,0,140.4853749446809
A_blind,9,8,-2.837,1,8.953682160418625
A_blind,9,9,-2.762,0,135.47725628275523
A_blind,9,10,-2.694,0,142.55461243483026
A_blind,9,11,-2.651,0,137.63480691186024
A_blind,9,12,-2.649,0,123.34063620250188
A_blind,9,13,-2.56,0,141.6203144673182
A_blind,9,14,-2.536,0,135.11466577373398
A_blind,9,15,-2.501,0,143.32321177823033
A_blind,9,16,-2.464,0,51.857547702211086
A_blind,9,17,-2.416,0,142.80010801753863
A_blind,9,18,-2.363,0,122.7317982450372
A_blind,9,19,-2.346,1,11.533633643053125
A_blind,9,20,-2.217,0,50.69170474029299
A_blind,10,1,-3.81,0,137.04161620425285
A_blind,10,2,-3.056,0,136.59965223592005
A_blind,10,3,-2.951,0,134.04093778722438
A_blind,10,4,-2.883,0,123.64570790805949
A_blind,10,5,-2.669,0,130.7540768083632
A_blind,10,6,-2.573,0,107.02742310001776
A_blind,10,7,-2.554,0,138.901815277391
A_blind,10,8,-2.502,0,134.4712732346129
A_blind,10,9,-2.489,0,40.212723158404856
A_blind,10,10,-2.483,1,12.389893026263348
A_blind,10,11,-2.387,0,135.17238727210267
A_blind,10,12,-2.24,0,18.34730181592654
A_blind,10,13,-2.111,0,135.53384303665598
A_blind,10,14,-2.091,1,12.087573099213653
A_blind,10,15,-2.077,0,102.33390102707504
A_blind,10,16,-2.064,0,105.49199279565437
A_blind,10,17,-2.049,1,12.313588249250678
A_blind,10,18,-1.974,0,104.02758002564606
A_blind,10,19,-1.831,0,129.8127045674345
A_blind,10,20,-1.699,0,132.2338081588514
A_blind,11,1,-3.665,0,139.29661036741598
A_blind,11,2,-3.377,0,135.9370756473834
A_blind,11,3,-3.127,0,135.3734341407871
A_blind,11,4,-3.076,0,135.08440657585493
A_blind,11,5,-3.053,0,134.0172501712392
A_blind,11,6,-2.879,0,67.11877105230249
A_blind,11,7,-2.861,0,135.3269471029717
A_blind,11,8,-2.791,0,64.858170068327
A_blind,11,9,-2.759,0,135.4664718162496
A_blind,11,10,-2.758,0,135.14534802826506
A_blind,11,11,-2.748,0,63.81704736228177
A_blind,11,12,-2.689,0,61.10066098040908
A_blind,11,13,-2.658,0,38.125855319463696
A_blind,11,14,-2.564,0,38.02589673483142
A_blind,11,15,-2.557,0,138.1800038641997
A_blind,11,16,-2.428,0,61.49990863782251
A_blind,11,17,-2.41,0,96.25165094931863
A_blind,11,18,-2.347,0,63.320233739842024
A_blind,11,19,-2.345,0,61.82307538333694
A_blind,11,20,-2.341,0,39.96484116195537
A_blind,12,1,-3.179,0,102.73991241040108
A_blind,12,2,-2.991,0,134.80649071300877
A_blind,12,3,-2.971,0,102.59457279715579
A_blind,12,4,-2.765,0,95.97292849839282
A_blind,12,5,-2.744,0,135.53077679255068
A_blind,12,6,-2.596,0,120.47913504870085
A_blind,12,7,-2.587,0,133.57196000579248
A_blind,12,8,-2.543,0,65.45728282432948
A_blind,12,9,-2.409,0,33.17786236701003
A_blind,12,10,-2.392,0,119.67385571390096
A_blind,12,11,-2.353,0,67.84531592969641
A_blind,12,12,-2.35,0,116.45181997559865
A_blind,12,13,-2.343,0,101.3894114426235
A_blind,12,14,-2.316,0,129.93522551973388
A_blind,12,15,-2.249,0,112.13182583660262
A_blind,12,16,-2.221,0,111.44018698743218
A_blind,12,17,-2.201,0,66.57335953887613
A_blind,12,18,-2.176,0,74.22424971638657
A_blind,12,19,-2.117,0,139.7003370593216
A_blind,12,20,-2.006,0,111.7055662831331
A_blind,13,1,-3.99,0,136.38355578643223
A_blind,13,2,-3.788,0,137.5329988650249
A_blind,13,3,-3.764,0,136.12842285008406
A_blind,13,4,-3.297,0,137.03290621211062
A_blind,13,5,-3.226,0,135.9523485990017
A_blind,13,6,-2.984,0,24.235438495730754
A_blind,13,7,-2.976,0,135.44639714801525
A_blind,13,8,-2.773,0,27.456415810182566
