id,smiles,score_1xq8,plif_1xq8,score_we_mean,plif_we_mean,SC1,SC2,SC3,SC4,score_c09,plif_c09,SC2_c09,SC4_c09
0,C=C(C)c1ccc2nccc(S(=O)(=O)N3CCCNCC3)c2c1,-4.061,0.0153417281640524,-3.8090766,0.2635218734871238,4.061,3.8090766,4.107025184492157,4.599642220461371,-3.957,0.3689517233821031,3.957,5.063855170146309
1,C=CCN1CCN(S(=O)(=O)c2ccnc3cc(Cl)ccc23)CC1,-5.201,0.0,-4.9298857,0.2006346782276937,5.201,4.9298857,5.201,5.531789734683081,-5.198,0.4844101046632691,5.198,6.6512303139898075
2,C=Cc1cc2cc(S(=O)(=O)N3CCCNCC3)ccc2[nH]1,-4.292,0.0,-3.7924025,0.2324809644525514,4.292,3.7924025,4.292,4.489845393357655,-4.002,0.4844101046632691,4.002,5.455230313989807
3,CC(C)N1CCN(S(=O)(=O)c2ccnc3ccc(Cl)cc23)CC1,-5.139,0.0,-5.0153796,0.2107337061507232,5.139,5.0153796,5.139,5.64758071845217,-5.065,0.012484217730421136,5.065,5.102452653191264
4,CC(CC1CCN(C(=O)c2csc3ccccc23)CC1)N1CCNCC1,-5.96,0.0009408365554456,-5.719698000000001,0.1885659835023534,5.96,5.719698000000001,5.962822509666337,6.285395950507061,-5.878,0.4844101046632691,5.878,7.331230313989807
5,CC1(O)CCN(S(=O)(=O)c2ccnc3ccccc23)CC1,-5.455,0.0,-4.873831300000001,0.2552688953356105,5.455,4.873831300000001,5.455,5.639637986006832,-5.128,0.19283607167747044,5.128,5.706508215032412
6,CC=CN1CCN(S(=O)(=O)c2ccnc3ccc(NC(C)=O)cc23)CC1,-5.375,0.0,-5.567262,0.1646201543270868,5.375,5.567262,5.375,6.061122462981261,-5.561,0.21318880808891044,5.561,6.200566424266731
7,CCN1CCCN(S(=O)(=O)c2cccc3ccccc23)CC1,-3.555,0.0,-3.6282911,0.2870388455985748,3.555,3.6282911,3.555,4.4894076367957245,-3.626,0.4514045634344201,3.626,4.98021369030326
8,CCN1CCCN(S(=O)(=O)c2ccnc3cc(Cl)ccc23)CC1,-3.459,0.0,-3.6084416,0.2402518374174304,3.459,3.6084416,3.459,4.329197112252292,-3.597,0.008481165879740595,3.597,3.622443497639222
9,CCN1CCCN(S(=O)(=O)c2cncc3ccccc23)CC1,-3.659,0.0,-3.4800851000000006,0.2186648431387532,3.659,3.4800851000000006,3.659,4.13607962941626,-3.778,0.3547968480340348,3.778,4.842390544102104
10,CCN1CCN(C)C(S(=O)(=O)c2ccnc3ccccc23)C1,-5.426,0.0013507978422093,-5.062025499999999,0.2363834202783551,5.426,5.062025499999999,5.430052393526628,5.771175760835065,-5.11,0.3689517233821031,5.11,6.216855170146309
11,CCN1CCN(S(=O)(=O)c2ccnc3cc(Cl)ccc23)CC1,-5.278,0.0140047234350353,-4.809072,0.2145789397451724,5.278,4.809072,5.320014170305106,5.452808819235517,-4.776,0.011166580472204925,4.776,4.809499741416615
12,CCN1CCN(S(=O)(=O)c2ccnc3ccccc23)CC1,-4.877,0.0128820733163923,-4.725182300000001,0.1997044450222959,4.877,4.725182300000001,4.915646219949177,5.324295635066889,-4.636,0.4095942669158416,4.636,5.864782800747525
