id,smiles,score_1xq8,plif_1xq8,score_we_mean,plif_we_mean,SC1,SC2,SC3,SC4
0,C=C(C)c1ccc2nccc(S(=O)(=O)N3CCCNCC3)c2c1,-4.061,0.015341728164052432,-3.8090765999999996,0.26352187348712386,4.061,3.8090765999999996,4.107025184492157,4.599642220461371
1,C=CCN1CCN(S(=O)(=O)c2ccnc3cc(Cl)ccc23)CC1,-5.201,0.0,-4.9298857,0.20063467822769376,5.201,4.9298857,5.201,5.531789734683081
2,C=Cc1cc2cc(S(=O)(=O)N3CCCNCC3)ccc2[nH]1,-4.292,0.0,-3.7924025,0.23248096445255148,4.292,3.7924025,4.292,4.489845393357655
3,CC(C)N1CCN(S(=O)(=O)c2ccnc3ccc(Cl)cc23)CC1,-5.139,0.0,-5.0153796,0.21073370615072323,5.139,5.0153796,5.139,5.64758071845217
4,CC(CC1CCN(C(=O)c2csc3ccccc23)CC1)N1CCNCC1,-5.96,0.0009408365554456228,-5.719698000000001,0.1885659835023534,5.96,5.719698000000001,5.962822509666337,6.285395950507061
5,CC1(O)CCN(S(=O)(=O)c2ccnc3ccccc23)CC1,-5.455,0.0,-4.873831300000001,0.25526889533561054,5.455,4.873831300000001,5.455,5.639637986006832
6,CC=CN1CCN(S(=O)(=O)c2ccnc3ccc(NC(C)=O)cc23)CC1,-5.375,0.0,-5.567262,0.16462015432708682,5.375,5.567262,5.375,6.061122462981261
7,CCN1CCCN(S(=O)(=O)c2cccc3ccccc23)CC1,-3.555,0.0,-3.6282910999999998,0.28703884559857484,3.555,3.6282910999999998,3.555,4.4894076367957245
8,CCN1CCCN(S(=O)(=O)c2ccnc3cc(Cl)ccc23)CC1,-3.459,0.0,-3.6084416,0.24025183741743045,3.459,3.6084416,3.459,4.329197112252292
9,CCN1CCCN(S(=O)(=O)c2cncc3ccccc23)CC1,-3.659,0.0,-3.4800851000000006,0.2186648431387532,3.659,3.4800851000000006,3.659,4.13607962941626
10,CCN1CCN(C)C(S(=O)(=O)c2ccnc3ccccc23)C1,-5.426,0.0013507978422093825,-5.062025499999999,0.23638342027835518,5.426,5.062025499999999,5.430052393526628,5.771175760835065
11,CCN1CCN(S(=O)(=O)c2ccnc3cc(Cl)ccc23)CC1,-5.278,0.01400472343503534,-4.809072,0.21457893974517245,5.278,4.809072,5.320014170305106,5.452808819235517
12,CCN1CCN(S(=O)(=O)c2ccnc3ccccc23)CC1,-4.877,0.012882073316392378,-4.725182300000001,0.19970444502229592,4.877,4.725182300000001,4.915646219949177,5.324295635066889
13,CCOC(=O)N1CCCN(S(=O)(=O)c2ccnc3ccccc23)CC1,-3.677,0.0,-3.4491559000000005,0.1753739062679293,3.677,3.4491559000000005,3.677,3.9752776188037884
14,CCOc1ccc2c(c1)CCCN2S(=O)(=O)c1ccnc2ccccc12,-5.715,0.0,-5.587812700000001,0.2429764322015595,5.715,5.587812700000001,5.715,6.316741996604679
15,CCOc1ccc2nccc(S(=O)(=O)N3CCCNCC3)c2c1,-3.678,0.02496843546084227,-3.5075303,0.22873229496895123,3.678,3.5075303,3.7529053063825266,4.193727184906853
16,CCSc1cccc2c(S(=O)(=O)N3CCNCC3)cccc12,-5.143,0.0,-4.8163271,0.27612093330032084,5.143,4.8163271,5.143,5.644689899900962
17,CCc1ccc(S(=O)(=O)N2CCCNCC2)cc1,-3.781,0.0,-3.3508014999999998,0.18062813079848894,3.781,3.3508014999999998,3.781,3.8926858923954666
18,CN(CCc1ccccc1)S(=O)(=O)c1ccnc2ccccc12,-4.33,0.0,-4.0471457,0.2572488972166706,4.33,4.0471457,4.33,4.818892391650012
19,CN1CCCN(S(=O)(=O)c2cccc3ccccc23)CC1,-3.527,0.0,-3.7146227999999994,0.3815468891663227,3.527,3.7146227999999994,3.527,4.859263467498968
20,CN1CCCN(S(=O)(=O)c2cccc3cccnc23)CC1,-3.513,0.0,-3.4387231000000003,0.2755318600704953,3.513,3.4387231000000003,3.513,4.265318680211486
21,CN1CCCN(S(=O)(=O)c2ccnc3c(C(F)(F)F)cccc23)CC1,-4.288,0.0,-3.8552350000000004,0.21925503030184867,4.288,3.8552350000000004,4.288,4.513000090905546
22,CN1CCCN(S(=O)(=O)c2ccnc3ccc(Cl)cc23)CC1,-3.774,0.0,-3.526517,0.25072206047571055,3.774,3.526517,3.774,4.278683181427132
23,CN1CCCN(S(=O)(=O)c2ccnc3ccccc23)CC1,-3.596,0.0,-3.4906402,0.35917111966394333,3.596,3.4906402,3.596,4.56815355899183
24,CN1CCCN(S(=O)(=O)c2sc3ccccc3c2Cl)CC1,-3.77,0.0,-3.5142589,0.3222332668494441,3.77,3.5142589,3.77,4.4809587005483325
25,CN1CCN(S(=O)(=O)C2=CC=NC3(Cl)C=CC=C23)CC1,-5.498,0.0,-4.650527500000001,0.27055710001265026,5.498,4.650527500000001,5.498,5.462198800037951
26,CN1CCN(S(=O)(=O)c2cccc3cnccc23)CC1,-4.611,0.0,-4.7278222,0.23850552694679722,4.611,4.7278222,4.611,5.443338780840392
27,CN1CCN(S(=O)(=O)c2ccnc3c(Cl)cccc23)CC1,-5.075,0.0,-4.8728986999999995,0.2738011162415014,5.075,4.8728986999999995,5.075,5.694302048724504
28,CN1CCN(S(=O)(=O)c2ccnc3ccc(Cl)cc23)CC1,-5.035,0.01696095918604283,-4.9004673,0.2809643095205098,5.035,4.9004673,5.085882877558129,5.74336022856153
29,CN1CCN(S(=O)(=O)c2ccnc3ccccc23)CC1,-5.004,0.0,-4.748963799999999,0.24390467166715346,5.004,4.748963799999999,5.004,5.48067781500146
30,CN1CCN(S(=O)(=O)c2cnc3ccccc3c2)CC1,-5.232,0.0,-4.8250735,0.21891717112754697,5.232,4.8250735,5.232,5.481825013382641
31,COc1cc2c(S(=O)(=O)N3CCCN(C)CC3)ccnc2cn1,-3.376,0.0,-3.3879651,0.2550792577725125,3.376,3.3879651,3.376,4.153202873317538
32,COc1ccc(S(=O)(=O)N2CCNCC2)cc1,-4.778,0.0013507978422093825,-4.295128199999999,0.19693524531517123,4.778,4.295128199999999,4.7820523935266275,4.885933935945513
33,COc1ccc2nccc(S(=O)(=O)N3CC[C@H](N)C3)c2c1,-4.861,0.0,-4.795115900000001,0.22178240324029183,4.861,4.795115900000001,4.861,5.460463109720877
34,C[C@@H]1CN(S(=O)(=O)c2ccnc3ccccc23)C[C@H](C)N1,-5.258,0.0,-5.020088199999999,0.2465424788571487,5.258,5.020088199999999,5.258,5.759715636571445
35,C[C@@H]1CNC[C@H](C)N1S(=O)(=O)c1ccnc2ccccc12,-5.159,0.0,-4.9777282000000005,0.22504639432892504,5.159,4.9777282000000005,5.159,5.652867382986775
36,C[C@H]1CN(S(=O)(=O)c2ccnc3ccccc23)[C@@H](C)CN1,-5.252,0.0,-4.995779500000001,0.2196211498178329,5.252,4.995779500000001,5.252,5.6546429494535
