SMILES,SMILES_state,Input_SMILES,Tanimoto,NLL
CN1CCN(S(=O)(=O)c2ccnc3ccccc23)CC1,1,O=S(=O)(c1ccnc2ccccc12)N1CCCNCC1,0.6666666666666666,2.77
O=S(=O)(c1ccnc2ccccc12)N1CCNCC1,1,O=S(=O)(c1ccnc2ccccc12)N1CCCNCC1,0.8833333333333333,1.17
O=S(=O)(c1ccnc2ccccc12)N1CCOCC1,1,O=S(=O)(c1ccnc2ccccc12)N1CCCNCC1,0.6865671641791045,2.85
CN1CCCN(S(=O)(=O)c2ccnc3ccccc23)CC1,1,O=S(=O)(c1ccnc2ccccc12)N1CCCNCC1,0.7101449275362319,2.6
O=S(=O)(c1ccnc2ccccc12)N1CCCNCCC1,1,O=S(=O)(c1ccnc2ccccc12)N1CCCNCC1,0.8888888888888888,2.95
O=S(=O)(c1cccc2ncccc12)N1CCNCC1,1,O=S(=O)(c1ccnc2ccccc12)N1CCCNCC1,0.765625,4.26
O=S(=O)(c1ccnc2ccccc12)N1CCCCC1,1,O=S(=O)(c1ccnc2ccccc12)N1CCCNCC1,0.765625,1.91
O=S(=O)(c1cccc2ncccc12)N1CCCNCC1,1,O=S(=O)(c1ccnc2ccccc12)N1CCCNCC1,0.8709677419354839,3.1
O=S(=O)(c1cnc2ccccc2c1)N1CCCNCC1,1,O=S(=O)(c1ccnc2ccccc12)N1CCCNCC1,0.6571428571428571,6.21
O=S(=O)(c1ccnc2ccccc12)N1CCCC1,1,O=S(=O)(c1ccnc2ccccc12)N1CCCNCC1,0.7741935483870968,2.96
O=S(=O)(c1cccc2cccnc12)N1CCCNCC1,1,O=S(=O)(c1ccnc2ccccc12)N1CCCNCC1,0.6571428571428571,6.89
O=S(=O)(c1ccnc2ccccc12)N1CCCC(N2CCNCC2)C1,1,O=S(=O)(c1ccnc2ccccc12)N1CCCNCC1,0.7012987012987013,9.1
O=S(=O)(c1ccnc2ccccc12)N1CCC2(CCNCC2)C1,1,O=S(=O)(c1ccnc2ccccc12)N1CCCNCC1,0.6666666666666666,4.85
O=S(=O)(NC1CCNCC1)c1ccnc2ccccc12,1,O=S(=O)(c1ccnc2ccccc12)N1CCCNCC1,0.589041095890411,9.44
NC1CCN(S(=O)(=O)c2ccnc3ccccc23)CC1,1,O=S(=O)(c1ccnc2ccccc12)N1CCCNCC1,0.6666666666666666,4.83
NC1CCN(S(=O)(=O)c2ccnc3ccccc23)C1,1,O=S(=O)(c1ccnc2ccccc12)N1CCCNCC1,0.6231884057971014,8.06
O=S(=O)(c1cccc2ccccc12)N1CCCNCC1,1,O=S(=O)(c1ccnc2ccccc12)N1CCCNCC1,0.7058823529411765,4.25
O=S(=O)(c1ccnc2ccccc12)N1CCCNC(CO)C1,1,O=S(=O)(c1ccnc2ccccc12)N1CCCNCC1,0.6805555555555556,4.44
O=S(=O)(c1ccnc2ccccc12)N1CCC1,1,O=S(=O)(c1ccnc2ccccc12)N1CCCNCC1,0.7966101694915254,6.71
O=S(=O)(c1ccnc2ccc(Cl)cc12)N1CCCNCC1,1,O=S(=O)(c1ccnc2ccccc12)N1CCCNCC1,0.7352941176470589,4.57
